38753827:['emc avamar', 'cisco  switches', 'project management']
17681064:['project management', 'strategic', 'rfi']
25905275:['project management', 'spanish', 'excel']
11580408:['erp', 'voice mail', 'content management']
19201175:['windows operating systems', 'knowledge of streaming video platforms', 'hardware updates']
12635195:['familiar with both the educational and information technology fields', 'experience in both project management and educating teachers on the use of technology in the classroom', 'google and microsoft suite experience through coursework and classroom implementation']
32959732:['project management', 'business operations organization', 'accounting systems  sage platinum']
17688766:['networking', 'real estate', 'firewalls']
20024870:['excel', 'analysis', 'photoshop']
22450718:['team player', 'access', 'excel']
46260230:['end user training', 'lan and wan configurations', 'new program installations']
10839851:['scanners', 'experience with information technology service management  itsm', 'installing']
18752129:['first aid', 'recording', 'cpr']
37764298:['access', 'excel', 'powerpoint']
90867631:['logistics', 'access', 'strategic']
17641670:['dvd', 'gateway', 'web site content']
24889109:['access', 'tcp ip', 'firewalls']
24083609:['excellent attention to detail', 'excellent problem solving abilities', 'fast learner']
24038620:['dictation', 'project management', 'access']
29051656:[]
20237244:['configuring routers and switches', 'encase', 'wireshark']
20001721:['microsoft word', 'access', 'visual studio']
92069209:['directing', 'government', 'strategic']
13405733:['excellent verbal and written communication', 'project management', 'access']
28697203:['project management', 'release management', 'confluence']
28035460:['view', 'databases', 'excellent interpersonal skills']
21283365:['technical support management', 'communicating effectively with various levels of the organization', 'project status reports and briefs']
17987433:['epic go live', 'requirement', 'protein extractions']
10553553:['exchange', 'purchasing', 'pbx']
15118506:['asset management', 'microsoft hyper v', 'vendor management']
18176523:['novell netware', 'hub', 'netware']
24020470:['tapscan', 'wordpress', 'sales software  salesforce com']
70089206:['linux', 'sharepoint', 'office']
27770859:['novell netware', 'barracuda anti spam appliance', 'especially with apple']
57002858:['phone system', 'access', 'exchange']
13477922:['e mail', 'problem analysis and resolution', 'consultation']
28126340:['subject matter expert', 'networking', 'time   attendance']
37242217:['access', 'networking', 'developer']
10089434:['iis', 'epo', 'veritas netbackup']
11957080:['in design', 'applications       ms office suite', 'linux']
35325329:['health and human services', 'dictation', 'project management']
10840430:['feasibility studies', 'project management', 'publication']
64017585:['ads', 'lotus           notes', 'direct mail']
19850482:['access', 'thomson one', 'vpn']
52618188:['microsoft outlook', 'erp', 'project management']
28897981:['self starter t', 'content management systems', 'presentations']
51639418:['department of health', 'project management', 'spanish']
20674668:['eclipse', 'bluej', 'microsoft visual studio']
23527321:['dispersed team management', 'sap', 'business process design']
18159866:['demonstrated ability to apply it in solving business problems', 'experienced in strategic planning and execution', 'team leadership']
